,Long,Short
1993-01-04,0.0016659361509811176,0.020520030421327228
1993-01-05,0.0038462701758605,0.009805419564294749
1993-01-06,0.004235353629871497,-0.005015412467704472
1993-01-07,-0.008135196973752035,0.00046809848608643235
1993-01-08,0.004930865111563954,0.000850056782145625
1993-01-11,0.014028149655246614,0.008217310200568017
1993-01-12,0.0003161631765569939,-0.004152913384508017
1993-01-13,0.0014918718624790995,0.0002353516513857734
1993-01-14,0.006783585209537269,-0.006810623019875173
1993-01-15,0.011411582228043438,-0.004118042696676127
1993-01-18,0.006057440470152231,-0.003034731617405162
1993-01-19,-0.004591037594997527,-0.013728815256323513
1993-01-20,0.013386523651390814,-0.0035425184958982835
1993-01-21,0.012882720688885074,-0.0014708367904218366
1993-01-22,-0.001139660019885469,0.002087394550757882
1993-01-25,0.03206689781834617,-0.005307054019360158
1993-01-26,0.004170752198254158,0.01538950034258082
1993-01-27,-0.004360548918198948,0.006167846642729002
1993-01-28,-0.0048977327350880895,0.004342292720295104
1993-01-29,0.010868391031124646,0.002316358578799571
1993-02-01,0.01638974516449223,-0.0002662769801540565
1993-02-02,-0.00044989778550584835,-0.009254056501601937
1993-02-03,0.009173762997096135,-0.00992838417039026
1993-02-04,0.007254843166968994,0.009093073983228218
1993-02-05,-0.005400856404176146,-0.0012317960163199637
1993-02-08,-0.0012869952217535396,0.009464728152450353
1993-02-09,-0.01893013672070437,0.008294715579041568
1993-02-10,0.01352335451351334,-0.003546067020742971
1993-02-11,0.006609311659158368,0.006345095559123959
1993-02-12,-0.006729864958390364,0.011484639818455777
1993-02-16,-0.030838091529114008,0.030103771999907446
1993-02-17,0.02747162359509834,0.0033904155085179967
1993-02-18,0.011543243009127947,0.02344632902013951
1993-02-19,-0.010052407063059442,-0.021000689941018037
1993-02-23,0.00281123646565713,0.02054590992608586
1993-02-24,0.027398076522828486,-0.027932447840256936
1993-02-25,0.0035134274005982347,-0.004667291593093747
1993-02-26,0.014046462565037787,0.0040495989668923316
1993-03-01,-0.0021141420178646176,0.012479350781685794
1993-03-02,0.014915810495571558,-0.006776229844609049
1993-03-03,0.009480676247810982,0.0019828094916523598
1993-03-04,0.006757261429554562,0.006346840380065421
1993-03-05,0.009916002673890223,0.024505453881852813
1993-03-08,0.011784093479048541,-0.017106198180757082
1993-03-09,0.0017746832450373895,0.013328820343931614
1993-03-10,0.004952091331623454,-0.001995393082614094
1993-03-11,-0.004313259498770805,0.0031654036473746537
1993-03-12,-0.00038050291337700105,-0.008309862317537008
1993-03-15,0.010008343728706926,0.0004551582760115913
1993-03-16,0.006545557630105336,0.008189950985826321
1993-03-17,-0.004039977006928231,0.020545807567744535
1993-03-18,-0.0038358357898486185,-0.007649009442173127
1993-03-19,-0.01459347876940834,0.004703278088668583
1993-03-22,0.005957520968169705,0.0013581225609650583
1993-03-23,0.0023470197751065845,0.0020799042464095694
1993-03-24,-0.0036266783954161273,0.003759820665759017
1993-03-25,0.012983678271745125,-0.006865291093000747
1993-03-26,-0.011531465376451212,0.009997218020602138
1993-03-29,-0.008778104408881581,-0.0009231311564836919
1993-03-30,0.016607180927239996,0.022814291413437594
1993-03-31,0.0004627827966924403,-0.0037785884448563456
1993-04-01,0.006073710959267386,0.0024770836695198416
1993-04-02,-0.03527438041462373,0.012576073566521151
1993-04-05,0.00377425499141506,0.013077757547085534
1993-04-06,-0.0043170126330213995,0.00647285709002472
1993-04-07,0.008334398396124609,-0.007837045113456375
1993-04-08,-0.010864544450076763,0.02088597379434155
1993-04-12,0.0046016834572524925,-0.007243792350014755
1993-04-13,0.0034720647803500038,0.010515243997585055
1993-04-14,0.003972608013304291,0.004507278836036577
1993-04-15,0.009902670159197735,0.010426654342206932
1993-04-16,1.0969306917552047e-05,0.008917044069853641
1993-04-19,-0.002265149192231719,-0.0013738523075702224
1993-04-20,0.0007183271861702978,0.008142732538083087
1993-04-21,0.004510036423142694,-0.007494815073274897
1993-04-22,-0.007445010578637568,0.01286821636511426
1993-04-23,-0.007704879895463856,0.003012587165772784
1993-04-26,-0.017349948056369156,0.021148547955784393
1993-04-27,0.017655361477455712,-0.004324808550517545
1993-04-28,0.0024121127832702925,-0.011292208969892548
1993-04-29,0.008331681751679665,-1.9095782152322994e-05
1993-04-30,0.006062926167820748,-0.0035903127827546454
1993-05-03,0.013048905389304888,-0.006304419737391565
1993-05-04,-0.009013971450324764,-0.007234697344358942
1993-05-05,-0.008276623420322015,-0.007551448261321947
1993-05-06,0.002906085057920804,0.009408740347064903
1993-05-07,-0.004660487775270561,-0.004240149476240462
1993-05-10,-0.0017915500015148744,0.0031596121642805453
1993-05-11,-0.0018181829846413144,-0.01404576365825958
1993-05-12,0.00934895610494848,-0.021042485959151404
1993-05-13,-0.011062541309768525,0.0005711382614844385
1993-05-14,0.012469585322350051,-0.0030271639823998054
1993-05-17,-0.0071681578259725435,0.00956948143052252
1993-05-18,0.00521953358991456,-0.005616790945238192
1993-05-19,0.016601548524554588,-0.0050944261256253955
1993-05-20,0.0023976057489399905,-0.006472852320247946
1993-05-21,0.004233862592237181,0.002525762832346801
1993-05-24,0.019418418221865207,-0.022419060178327087
1993-05-25,0.004977602832665984,0.007594646881191014
1993-05-26,0.006508535434494334,-0.03436200796532318
1993-05-27,-0.006445017112702356,0.0028637363603547517
1993-05-28,-0.003692658332007459,0.01825273138547475
1993-06-01,0.006713870213687167,-0.013462965130564386
1993-06-02,0.003949693223883888,-0.004358620410260516
1993-06-03,-0.003140525002967298,-0.004647862655433077
1993-06-04,-0.003410558225087279,-0.010709007548575077
